nom,prenom,email,groupe
Ouazzani,Khadija,khadija.ouazzani84@etu.uae.ac.ma,Gr_GÉN_2
Senhaji,Othmane,othmane.senhaji85@etu.uae.ac.ma,Gr_GÉN_2
Benkirane,Leila,leila.benkirane86@etu.uae.ac.ma,Gr_GÉN_2
Tahiri,Brahim,brahim.tahiri87@etu.uae.ac.ma,Gr_GÉN_2
Kabbaj,Salma,salma.kabbaj88@etu.uae.ac.ma,Gr_GÉN_2
Bennai,Yassir,yassir.bennai89@etu.uae.ac.ma,Gr_GÉN_2
Alami,Mohammed,mohammed.alami90@etu.uae.ac.ma,Gr_GÉN_2
Bennani,Fatima,fatima.bennani91@etu.uae.ac.ma,Gr_GÉN_2
Tazi,Ahmed,ahmed.tazi92@etu.uae.ac.ma,Gr_GÉN_2
Idrissi,Sara,sara.idrissi93@etu.uae.ac.ma,Gr_GÉN_2
Kettani,Karim,karim.kettani94@etu.uae.ac.ma,Gr_GÉN_2
Amrani,Youssef,youssef.amrani95@etu.uae.ac.ma,Gr_GÉN_2
Chraibi,Laila,laila.chraibi96@etu.uae.ac.ma,Gr_GÉN_2
Fassi,Omar,omar.fassi97@etu.uae.ac.ma,Gr_GÉN_2
Benjelloun,Nadia,nadia.benjelloun98@etu.uae.ac.ma,Gr_GÉN_2
Sefrioui,Hassan,hassan.sefrioui99@etu.uae.ac.ma,Gr_GÉN_2
Badri,Meryem,meryem.badri100@etu.uae.ac.ma,Gr_GÉN_2
Zahraoui,Rachid,rachid.zahraoui101@etu.uae.ac.ma,GP_ÉNE
Cherkaoui,Samira,samira.cherkaoui102@etu.uae.ac.ma,GP_ÉNE
Mansouri,Khalid,khalid.mansouri103@etu.uae.ac.ma,GP_ÉNE
Tounsi,Imane,imane.tounsi104@etu.uae.ac.ma,GP_ÉNE
Hajji,Abdelkader,abdelkader.hajji105@etu.uae.ac.ma,GP_ÉNE
Lahlou,Houda,houda.lahlou106@etu.uae.ac.ma,GP_ÉNE
Bouzidi,Mustapha,mustapha.bouzidi107@etu.uae.ac.ma,GP_ÉNE
Haddaoui,Asma,asma.haddaoui108@etu.uae.ac.ma,GP_ÉNE
Naji,Driss,driss.naji109@etu.uae.ac.ma,GP_ÉNE
Moussaoui,Sanae,sanae.moussaoui110@etu.uae.ac.ma,GP_ÉNE
Berrada,Hamza,hamza.berrada111@etu.uae.ac.ma,GP_ÉNE
Filali,Zineb,zineb.filali112@etu.uae.ac.ma,GP_ÉNE
Kadiri,Amine,amine.kadiri113@etu.uae.ac.ma,GP_ÉNE
Ouazzani,Khadija,khadija.ouazzani114@etu.uae.ac.ma,GP_ÉNE
Senhaji,Othmane,othmane.senhaji115@etu.uae.ac.ma,GP_ÉNE
Benkirane,Leila,leila.benkirane116@etu.uae.ac.ma,GP_ÉNE
Tahiri,Brahim,brahim.tahiri117@etu.uae.ac.ma,GP_ÉNE
Kabbaj,Salma,salma.kabbaj118@etu.uae.ac.ma,GP_ÉNE
Bennai,Yassir,yassir.bennai119@etu.uae.ac.ma,GP_ÉNE
Alami,Mohammed,mohammed.alami120@etu.uae.ac.ma,GP_ÉNE
Bennani,Fatima,fatima.bennani121@etu.uae.ac.ma,GP_ÉNE
Tazi,Ahmed,ahmed.tazi122@etu.uae.ac.ma,GP_ÉNE
Idrissi,Sara,sara.idrissi123@etu.uae.ac.ma,GP_ÉNE
Kettani,Karim,karim.kettani124@etu.uae.ac.ma,GP_ÉNE
Amrani,Youssef,youssef.amrani125@etu.uae.ac.ma,GP_ÉNE
Chraibi,Laila,laila.chraibi126@etu.uae.ac.ma,GP_ÉNE
Fassi,Omar,omar.fassi127@etu.uae.ac.ma,GP_ÉNE
Benjelloun,Nadia,nadia.benjelloun128@etu.uae.ac.ma,GP_ÉNE
Sefrioui,Hassan,hassan.sefrioui129@etu.uae.ac.ma,GP_ÉNE
Badri,Meryem,meryem.badri130@etu.uae.ac.ma,GP_ÉNE
Zahraoui,Rachid,rachid.zahraoui131@etu.uae.ac.ma,GP_ÉNE
Cherkaoui,Samira,samira.cherkaoui132@etu.uae.ac.ma,GP_ÉNE
Mansouri,Khalid,khalid.mansouri133@etu.uae.ac.ma,GP_ÉNE
Tounsi,Imane,imane.tounsi134@etu.uae.ac.ma,GP_ÉNE
Hajji,Abdelkader,abdelkader.hajji135@etu.uae.ac.ma,GP_ÉNE
Lahlou,Houda,houda.lahlou136@etu.uae.ac.ma,GP_ÉNE
Bouzidi,Mustapha,mustapha.bouzidi137@etu.uae.ac.ma,GP_ÉNE
Haddaoui,Asma,asma.haddaoui138@etu.uae.ac.ma,GP_ÉNE
Naji,Driss,driss.naji139@etu.uae.ac.ma,GP_ÉNE
Moussaoui,Sanae,sanae.moussaoui140@etu.uae.ac.ma,GP_ÉNE
Berrada,Hamza,hamza.berrada141@etu.uae.ac.ma,GP_ÉNE
Filali,Zineb,zineb.filali142@etu.uae.ac.ma,GP_ÉNE
Kadiri,Amine,amine.kadiri143@etu.uae.ac.ma,GP_ÉNE
Ouazzani,Khadija,khadija.ouazzani144@etu.uae.ac.ma,GP_ÉNE
Senhaji,Othmane,othmane.senhaji145@etu.uae.ac.ma,GP_ÉNE
Benkirane,Leila,leila.benkirane146@etu.uae.ac.ma,GP_ÉNE
Tahiri,Brahim,brahim.tahiri147@etu.uae.ac.ma,GP_ÉNE
Kabbaj,Salma,salma.kabbaj148@etu.uae.ac.ma,GP_ÉNE
Bennai,Yassir,yassir.bennai149@etu.uae.ac.ma,GP_ÉNE
Alami,Mohammed,mohammed.alami150@etu.uae.ac.ma,GP_ÉNE
Bennani,Fatima,fatima.bennani151@etu.uae.ac.ma,Gr_ÉNE_1
Tazi,Ahmed,ahmed.tazi152@etu.uae.ac.ma,Gr_ÉNE_1
Idrissi,Sara,sara.idrissi153@etu.uae.ac.ma,Gr_ÉNE_1
Kettani,Karim,karim.kettani154@etu.uae.ac.ma,Gr_ÉNE_1
Amrani,Youssef,youssef.amrani155@etu.uae.ac.ma,Gr_ÉNE_1
Chraibi,Laila,laila.chraibi156@etu.uae.ac.ma,Gr_ÉNE_1
Fassi,Omar,omar.fassi157@etu.uae.ac.ma,Gr_ÉNE_1
Benjelloun,Nadia,nadia.benjelloun158@etu.uae.ac.ma,Gr_ÉNE_1
Sefrioui,Hassan,hassan.sefrioui159@etu.uae.ac.ma,Gr_ÉNE_1
Badri,Meryem,meryem.badri160@etu.uae.ac.ma,Gr_ÉNE_1
Zahraoui,Rachid,rachid.zahraoui161@etu.uae.ac.ma,Gr_ÉNE_1
Cherkaoui,Samira,samira.cherkaoui162@etu.uae.ac.ma,Gr_ÉNE_1
Mansouri,Khalid,khalid.mansouri163@etu.uae.ac.ma,Gr_ÉNE_1
Tounsi,Imane,imane.tounsi164@etu.uae.ac.ma,Gr_ÉNE_1
Hajji,Abdelkader,abdelkader.hajji165@etu.uae.ac.ma,Gr_ÉNE_1
Lahlou,Houda,houda.lahlou166@etu.uae.ac.ma,Gr_ÉNE_1
Bouzidi,Mustapha,mustapha.bouzidi167@etu.uae.ac.ma,Gr_ÉNE_1
Haddaoui,Asma,asma.haddaoui168@etu.uae.ac.ma,Gr_ÉNE_1
Naji,Driss,driss.naji169@etu.uae.ac.ma,Gr_ÉNE_1
Moussaoui,Sanae,sanae.moussaoui170@etu.uae.ac.ma,Gr_ÉNE_1
Berrada,Hamza,hamza.berrada171@etu.uae.ac.ma,Gr_ÉNE_1
Filali,Zineb,zineb.filali172@etu.uae.ac.ma,Gr_ÉNE_1
Kadiri,Amine,amine.kadiri173@etu.uae.ac.ma,Gr_ÉNE_1
Ouazzani,Khadija,khadija.ouazzani174@etu.uae.ac.ma,Gr_ÉNE_1
Senhaji,Othmane,othmane.senhaji175@etu.uae.ac.ma,Gr_ÉNE_1
Benkirane,Leila,leila.benkirane176@etu.uae.ac.ma,Gr_ÉNE_2
Tahiri,Brahim,brahim.tahiri177@etu.uae.ac.ma,Gr_ÉNE_2
Kabbaj,Salma,salma.kabbaj178@etu.uae.ac.ma,Gr_ÉNE_2
Bennai,Yassir,yassir.bennai179@etu.uae.ac.ma,Gr_ÉNE_2
Alami,Mohammed,mohammed.alami180@etu.uae.ac.ma,Gr_ÉNE_2
Bennani,Fatima,fatima.bennani181@etu.uae.ac.ma,Gr_ÉNE_2
Tazi,Ahmed,ahmed.tazi182@etu.uae.ac.ma,Gr_ÉNE_2
Idrissi,Sara,sara.idrissi183@etu.uae.ac.ma,Gr_ÉNE_2
Kettani,Karim,karim.kettani184@etu.uae.ac.ma,Gr_ÉNE_2
Amrani,Youssef,youssef.amrani185@etu.uae.ac.ma,Gr_ÉNE_2
Chraibi,Laila,laila.chraibi186@etu.uae.ac.ma,Gr_ÉNE_2
Fassi,Omar,omar.fassi187@etu.uae.ac.ma,Gr_ÉNE_2
Benjelloun,Nadia,nadia.benjelloun188@etu.uae.ac.ma,Gr_ÉNE_2
Sefrioui,Hassan,hassan.sefrioui189@etu.uae.ac.ma,Gr_ÉNE_2
Badri,Meryem,meryem.badri190@etu.uae.ac.ma,Gr_ÉNE_2
Zahraoui,Rachid,rachid.zahraoui191@etu.uae.ac.ma,Gr_ÉNE_2
Cherkaoui,Samira,samira.cherkaoui192@etu.uae.ac.ma,Gr_ÉNE_2
Mansouri,Khalid,khalid.mansouri193@etu.uae.ac.ma,Gr_ÉNE_2
Tounsi,Imane,imane.tounsi194@etu.uae.ac.ma,Gr_ÉNE_2
Hajji,Abdelkader,abdelkader.hajji195@etu.uae.ac.ma,Gr_ÉNE_2
Lahlou,Houda,houda.lahlou196@etu.uae.ac.ma,Gr_ÉNE_2
Bouzidi,Mustapha,mustapha.bouzidi197@etu.uae.ac.ma,Gr_ÉNE_2
Haddaoui,Asma,asma.haddaoui198@etu.uae.ac.ma,Gr_ÉNE_2
Naji,Driss,driss.naji199@etu.uae.ac.ma,Gr_ÉNE_2
Moussaoui,Sanae,sanae.moussaoui200@etu.uae.ac.ma,Gr_ÉNE_2
Berrada,Hamza,hamza.berrada201@etu.uae.ac.ma,GP_ANA
Filali,Zineb,zineb.filali202@etu.uae.ac.ma,GP_ANA
Kadiri,Amine,amine.kadiri203@etu.uae.ac.ma,GP_ANA
Ouazzani,Khadija,khadija.ouazzani204@etu.uae.ac.ma,GP_ANA
Senhaji,Othmane,othmane.senhaji205@etu.uae.ac.ma,GP_ANA
Benkirane,Leila,leila.benkirane206@etu.uae.ac.ma,GP_ANA
Tahiri,Brahim,brahim.tahiri207@etu.uae.ac.ma,GP_ANA
Kabbaj,Salma,salma.kabbaj208@etu.uae.ac.ma,GP_ANA
Bennai,Yassir,yassir.bennai209@etu.uae.ac.ma,GP_ANA
Alami,Mohammed,mohammed.alami210@etu.uae.ac.ma,GP_ANA
Bennani,Fatima,fatima.bennani211@etu.uae.ac.ma,GP_ANA
Tazi,Ahmed,ahmed.tazi212@etu.uae.ac.ma,GP_ANA
Idrissi,Sara,sara.idrissi213@etu.uae.ac.ma,GP_ANA
Kettani,Karim,karim.kettani214@etu.uae.ac.ma,GP_ANA
Amrani,Youssef,youssef.amrani215@etu.uae.ac.ma,GP_ANA
Chraibi,Laila,laila.chraibi216@etu.uae.ac.ma,GP_ANA
Fassi,Omar,omar.fassi217@etu.uae.ac.ma,GP_ANA
Benjelloun,Nadia,nadia.benjelloun218@etu.uae.ac.ma,GP_ANA
Sefrioui,Hassan,hassan.sefrioui219@etu.uae.ac.ma,GP_ANA
Badri,Meryem,meryem.badri220@etu.uae.ac.ma,GP_ANA
Zahraoui,Rachid,rachid.zahraoui221@etu.uae.ac.ma,GP_ANA
Cherkaoui,Samira,samira.cherkaoui222@etu.uae.ac.ma,GP_ANA
Mansouri,Khalid,khalid.mansouri223@etu.uae.ac.ma,GP_ANA
Tounsi,Imane,imane.tounsi224@etu.uae.ac.ma,GP_ANA
Hajji,Abdelkader,abdelkader.hajji225@etu.uae.ac.ma,GP_ANA
Lahlou,Houda,houda.lahlou226@etu.uae.ac.ma,GP_ANA
Bouzidi,Mustapha,mustapha.bouzidi227@etu.uae.ac.ma,GP_ANA
Haddaoui,Asma,asma.haddaoui228@etu.uae.ac.ma,GP_ANA
Naji,Driss,driss.naji229@etu.uae.ac.ma,GP_ANA
Moussaoui,Sanae,sanae.moussaoui230@etu.uae.ac.ma,GP_ANA
Berrada,Hamza,hamza.berrada231@etu.uae.ac.ma,GP_ANA
Filali,Zineb,zineb.filali232@etu.uae.ac.ma,GP_ANA
Kadiri,Amine,amine.kadiri233@etu.uae.ac.ma,GP_ANA
Ouazzani,Khadija,khadija.ouazzani234@etu.uae.ac.ma,GP_ANA
Senhaji,Othmane,othmane.senhaji235@etu.uae.ac.ma,GP_ANA
Benkirane,Leila,leila.benkirane236@etu.uae.ac.ma,GP_ANA
Tahiri,Brahim,brahim.tahiri237@etu.uae.ac.ma,GP_ANA
Kabbaj,Salma,salma.kabbaj238@etu.uae.ac.ma,GP_ANA
Bennai,Yassir,yassir.bennai239@etu.uae.ac.ma,GP_ANA
Alami,Mohammed,mohammed.alami240@etu.uae.ac.ma,GP_ANA
Bennani,Fatima,fatima.bennani241@etu.uae.ac.ma,GP_ANA
Tazi,Ahmed,ahmed.tazi242@etu.uae.ac.ma,GP_ANA
Idrissi,Sara,sara.idrissi243@etu.uae.ac.ma,GP_ANA
Kettani,Karim,karim.kettani244@etu.uae.ac.ma,GP_ANA
Amrani,Youssef,youssef.amrani245@etu.uae.ac.ma,GP_ANA
Chraibi,Laila,laila.chraibi246@etu.uae.ac.ma,GP_ANA
Fassi,Omar,omar.fassi247@etu.uae.ac.ma,GP_ANA
Benjelloun,Nadia,nadia.benjelloun248@etu.uae.ac.ma,GP_ANA
Sefrioui,Hassan,hassan.sefrioui249@etu.uae.ac.ma,GP_ANA
Badri,Meryem,meryem.badri250@etu.uae.ac.ma,GP_ANA
Zahraoui,Rachid,rachid.zahraoui251@etu.uae.ac.ma,Gr_ANA_1
Cherkaoui,Samira,samira.cherkaoui252@etu.uae.ac.ma,Gr_ANA_1
Mansouri,Khalid,khalid.mansouri253@etu.uae.ac.ma,Gr_ANA_1
Tounsi,Imane,imane.tounsi254@etu.uae.ac.ma,Gr_ANA_1
Hajji,Abdelkader,abdelkader.hajji255@etu.uae.ac.ma,Gr_ANA_1
Lahlou,Houda,houda.lahlou256@etu.uae.ac.ma,Gr_ANA_1
Bouzidi,Mustapha,mustapha.bouzidi257@etu.uae.ac.ma,Gr_ANA_1
Haddaoui,Asma,asma.haddaoui258@etu.uae.ac.ma,Gr_ANA_1
Naji,Driss,driss.naji259@etu.uae.ac.ma,Gr_ANA_1
Moussaoui,Sanae,sanae.moussaoui260@etu.uae.ac.ma,Gr_ANA_1
Berrada,Hamza,hamza.berrada261@etu.uae.ac.ma,Gr_ANA_1
Filali,Zineb,zineb.filali262@etu.uae.ac.ma,Gr_ANA_1
Kadiri,Amine,amine.kadiri263@etu.uae.ac.ma,Gr_ANA_1
Ouazzani,Khadija,khadija.ouazzani264@etu.uae.ac.ma,Gr_ANA_1
Senhaji,Othmane,othmane.senhaji265@etu.uae.ac.ma,Gr_ANA_1
Benkirane,Leila,leila.benkirane266@etu.uae.ac.ma,Gr_ANA_1
Tahiri,Brahim,brahim.tahiri267@etu.uae.ac.ma,Gr_ANA_1
Kabbaj,Salma,salma.kabbaj268@etu.uae.ac.ma,Gr_ANA_1
Bennai,Yassir,yassir.bennai269@etu.uae.ac.ma,Gr_ANA_1
Alami,Mohammed,mohammed.alami270@etu.uae.ac.ma,Gr_ANA_1
Bennani,Fatima,fatima.bennani271@etu.uae.ac.ma,Gr_ANA_1
Tazi,Ahmed,ahmed.tazi272@etu.uae.ac.ma,Gr_ANA_1
Idrissi,Sara,sara.idrissi273@etu.uae.ac.ma,Gr_ANA_1
Kettani,Karim,karim.kettani274@etu.uae.ac.ma,Gr_ANA_1
Amrani,Youssef,youssef.amrani275@etu.uae.ac.ma,Gr_ANA_1
Chraibi,Laila,laila.chraibi276@etu.uae.ac.ma,Gr_ANA_2
Fassi,Omar,omar.fassi277@etu.uae.ac.ma,Gr_ANA_2
Benjelloun,Nadia,nadia.benjelloun278@etu.uae.ac.ma,Gr_ANA_2
Sefrioui,Hassan,hassan.sefrioui279@etu.uae.ac.ma,Gr_ANA_2
Badri,Meryem,meryem.badri280@etu.uae.ac.ma,Gr_ANA_2
Zahraoui,Rachid,rachid.zahraoui281@etu.uae.ac.ma,Gr_ANA_2
Cherkaoui,Samira,samira.cherkaoui282@etu.uae.ac.ma,Gr_ANA_2
Mansouri,Khalid,khalid.mansouri283@etu.uae.ac.ma,Gr_ANA_2
Tounsi,Imane,imane.tounsi284@etu.uae.ac.ma,Gr_ANA_2
Hajji,Abdelkader,abdelkader.hajji285@etu.uae.ac.ma,Gr_ANA_2
Lahlou,Houda,houda.lahlou286@etu.uae.ac.ma,Gr_ANA_2
Bouzidi,Mustapha,mustapha.bouzidi287@etu.uae.ac.ma,Gr_ANA_2
Haddaoui,Asma,asma.haddaoui288@etu.uae.ac.ma,Gr_ANA_2
Naji,Driss,driss.naji289@etu.uae.ac.ma,Gr_ANA_2
Moussaoui,Sanae,sanae.moussaoui290@etu.uae.ac.ma,Gr_ANA_2
Berrada,Hamza,hamza.berrada291@etu.uae.ac.ma,Gr_ANA_2
Filali,Zineb,zineb.filali292@etu.uae.ac.ma,Gr_ANA_2
Kadiri,Amine,amine.kadiri293@etu.uae.ac.ma,Gr_ANA_2
Ouazzani,Khadija,khadija.ouazzani294@etu.uae.ac.ma,Gr_ANA_2
Senhaji,Othmane,othmane.senhaji295@etu.uae.ac.ma,Gr_ANA_2
Benkirane,Leila,leila.benkirane296@etu.uae.ac.ma,Gr_ANA_2
Tahiri,Brahim,brahim.tahiri297@etu.uae.ac.ma,Gr_ANA_2
Kabbaj,Salma,salma.kabbaj298@etu.uae.ac.ma,Gr_ANA_2
Bennai,Yassir,yassir.bennai299@etu.uae.ac.ma,Gr_ANA_2
Alami,Mohammed,mohammed.alami300@etu.uae.ac.ma,Gr_ANA_2
Bennani,Fatima,fatima.bennani301@etu.uae.ac.ma,GP_ING
Tazi,Ahmed,ahmed.tazi302@etu.uae.ac.ma,GP_ING
Idrissi,Sara,sara.idrissi303@etu.uae.ac.ma,GP_ING
Kettani,Karim,karim.kettani304@etu.uae.ac.ma,GP_ING
Amrani,Youssef,youssef.amrani305@etu.uae.ac.ma,GP_ING
Chraibi,Laila,laila.chraibi306@etu.uae.ac.ma,GP_ING
Fassi,Omar,omar.fassi307@etu.uae.ac.ma,GP_ING
Benjelloun,Nadia,nadia.benjelloun308@etu.uae.ac.ma,GP_ING
Sefrioui,Hassan,hassan.sefrioui309@etu.uae.ac.ma,GP_ING
Badri,Meryem,meryem.badri310@etu.uae.ac.ma,GP_ING
Zahraoui,Rachid,rachid.zahraoui311@etu.uae.ac.ma,GP_ING
Cherkaoui,Samira,samira.cherkaoui312@etu.uae.ac.ma,GP_ING
Mansouri,Khalid,khalid.mansouri313@etu.uae.ac.ma,GP_ING
Tounsi,Imane,imane.tounsi314@etu.uae.ac.ma,GP_ING
Hajji,Abdelkader,abdelkader.hajji315@etu.uae.ac.ma,GP_ING
Lahlou,Houda,houda.lahlou316@etu.uae.ac.ma,GP_ING
Bouzidi,Mustapha,mustapha.bouzidi317@etu.uae.ac.ma,GP_ING
Haddaoui,Asma,asma.haddaoui318@etu.uae.ac.ma,GP_ING
Naji,Driss,driss.naji319@etu.uae.ac.ma,GP_ING
Moussaoui,Sanae,sanae.moussaoui320@etu.uae.ac.ma,GP_ING
Berrada,Hamza,hamza.berrada321@etu.uae.ac.ma,GP_ING
Filali,Zineb,zineb.filali322@etu.uae.ac.ma,GP_ING
Kadiri,Amine,amine.kadiri323@etu.uae.ac.ma,GP_ING
Ouazzani,Khadija,khadija.ouazzani324@etu.uae.ac.ma,GP_ING
Senhaji,Othmane,othmane.senhaji325@etu.uae.ac.ma,GP_ING
Benkirane,Leila,leila.benkirane326@etu.uae.ac.ma,GP_ING
Tahiri,Brahim,brahim.tahiri327@etu.uae.ac.ma,GP_ING
Kabbaj,Salma,salma.kabbaj328@etu.uae.ac.ma,GP_ING
Bennai,Yassir,yassir.bennai329@etu.uae.ac.ma,GP_ING
Alami,Mohammed,mohammed.alami330@etu.uae.ac.ma,GP_ING
Bennani,Fatima,fatima.bennani331@etu.uae.ac.ma,GP_ING
Tazi,Ahmed,ahmed.tazi332@etu.uae.ac.ma,GP_ING
Idrissi,Sara,sara.idrissi333@etu.uae.ac.ma,GP_ING
Kettani,Karim,karim.kettani334@etu.uae.ac.ma,GP_ING
Amrani,Youssef,youssef.amrani335@etu.uae.ac.ma,GP_ING
Chraibi,Laila,laila.chraibi336@etu.uae.ac.ma,GP_ING
Fassi,Omar,omar.fassi337@etu.uae.ac.ma,GP_ING
Benjelloun,Nadia,nadia.benjelloun338@etu.uae.ac.ma,GP_ING
Sefrioui,Hassan,hassan.sefrioui339@etu.uae.ac.ma,GP_ING
